Country_name,Country_code,Avg_mig,Health_exp,Consum_exp,National_incP.C,National_inc,Prim_enrol_rate,Current_accbal,Employers_total,Employment_serv,Employment_indus,Employment_agri,Expense,GDP_growth,Hightech_exports,HIV_incidence,Labor_particip_rate,Life_expect_birth,Pop_total,Pop_density,Pop_slums,Tax_revenue,Tech_grants,Lit_rate15_24,S&P_equityindex,Reg_business,migration
Guinea,GIN,51621.6875,5.692125,90.4199,-0.693075,2.359175,53.1951,-6.975125,0.15,14.4,4.325,37.2125,0,3.0437,280574.3938,0.2117,72.67375,52.69685,9104396.851,37.05195,55.99,0,60100625,0.44845,0,8.53845,3
Guinea-Bissau,GNB,-27187.5,4.254975,92.989675,0.194025,1.86765,43.47525,-8.872775,0,0,0,0,0,2.870975,2148,0,72.5625,51.8243,1383243.232,49.190725,62.225,0,22676541.67,0.354975,0,11.8409,2
Guyana,GUY,-53346.5625,5.677325,96.456625,0,0,90.27955,-15.043625,0,24.520825,17.50415,6.425,0,3.070375,565042.9101,0.11665,62.920425,65.10255,739275.8036,3.755525,25.135425,0,17910458.33,0.506025,0,5.916675,2
Haiti,HTI,-140313.5625,6.16265,99.533575,0.60175,1.7664,14.3343,-1.97795,0,15.375,7.6,12.625,0,0.51685,2262671.875,0.53585,65.62335,58.3202,8816589.78,319.9053,80.958325,0,104220916.7,0.72365,0,9.59295,2
Honduras,HND,-124373.6875,9.56115,41.177425,1.338275,3.45595,92.506675,-6.360675,2.696675,40.8575,21.4089,23.382675,16.00635,3.90755,7862798.092,0.1167,63.60665,70.501575,6467595.196,57.803125,25.25,11.162,92938291.67,0.772525,0,8.980775,2
"Hong Kong SAR, China",HKG,83841.875,5.77475,79.968775,0,0,47.179175,6.824225,4.75965,78.48375,20.735825,5.2001,14.245425,4.47115,3002669348,0,69.6275,80.898275,6596042.857,6352.155775,0,8.90245,8848666.667,0,9.0666,3.294875,3
Hungary,HUN,81594.0625,1.806125,73.34015,2.646125,2.44085,94.997,-5.069675,4.271675,59.782925,33.334175,25.85935,45.376025,1.829825,9576415068,0,61.352925,71.950125,10161416.95,113.105675,0,22.24725,0,0.7512,8.7876,4.769225,3
IBRD only,IBD,-9129193.375,7.008825,37.951575,2.711275,3.55735,92.696875,0,0,38.87555,26.46275,9.580825,0,4.850825,2.95E+11,0,69.49735,68.583375,3944976686,58.0668,33.43025,9.794175,0,0.94125,0,7.6963,1
Iceland,ISL,3567.1875,6.167275,39.45185,1.987125,2.189975,98.33705,-6.8423,5.580825,69.728775,22.915,18.1957,31.59495,2.5097,144684866.9,0,84.69625,80.395475,290158.4822,2.89435,0,23.806325,0,0,0,3.75,3
Iran,IRN,-742911.8125,4.226175,32.196,3.86235,5.30985,95.55045,4.1398,2.304175,34.320825,23.49375,18.90485,17.319525,4.698125,148171814.4,0.01,46.567925,70.554325,67136307.61,41.2193,35.7,6.172525,82563083.33,0.9589,0,6.77565,1
