ID,bstatus,trans_cf_td,trans_ca_cl,trans_re_ta,trans_ni_ta,trans_td_ta,trans_s_ta,trans_wc_ta,trans_wc_s,trans_c_cl,trans_cl_e,trans_in_s,trans_mve_td
2946,1,1.369128078,0.09693146,6.265801049,7.916527693,0.242544009,0.264287883,6.592665214,1.615333634,0.04167491,5.753172127,0.487309023,4.16E-04
2950,1,1.369150105,0.158369912,6.266448395,7.930273966,0.33690447,0.355401639,6.628488703,1.615465926,0.050055063,5.754779166,0.494080944,1.47E-05
2951,1,1.369125236,0.057995178,6.258330476,7.91203478,0.327073363,0.539141873,6.581585357,1.615361643,0.070275083,5.75393401,0.475295866,2.75E-05
2954,1,1.369128788,0.068654591,6.265143521,7.912954002,0.408984295,0.361216994,6.567395334,1.615283627,0.054982088,5.760030782,0.478550129,1.05E-05
2956,1,1.369116054,0.055396758,6.256836536,7.8938465,0.467202816,0.454711983,6.563722343,1.615311863,0.04912649,5.744049181,0.476349476,5.65E-06
2963,1,1.36914627,0.164020883,6.257790626,7.909151575,0.423823736,0.519012641,6.627864916,1.615434993,0.054599043,1,0.485701973,1.06E-05
2971,1,1.369151984,0.109128371,6.26471828,7.931002504,0.363620586,0.244380448,6.603236751,1.615380912,0.046257969,5.753997412,0.481384378,0
2973,1,1.369152827,0.100169183,6.266938537,7.928888566,0.384208734,0.469692064,6.599806735,1.615386612,0.083750245,5.753860463,0.475933,2.42E-05
2975,1,1.367387896,0.111054733,6.240658951,7.848428425,0.041375555,0.232095907,6.600779377,1.615365716,0.096705534,5.75352283,0.477563331,7.10E-04
2976,1,1.36917554,0.157477865,6.266604774,7.941401563,0.288201625,0.237129228,6.619004845,1.615465772,0.071411715,5.751947821,0.4780679,6.33E-04
2988,1,1.369097267,0.065137652,6.221938189,7.862597043,0.413878495,0.211945481,6.549775798,1.615039581,0.053891168,5.736877579,0.487522215,1.01E-04
2989,1,1.369120407,0.046035516,6.250077783,7.896093647,0.538893533,0.273927418,6.535926606,1.615086448,0.059793945,5.747479174,0.483078352,2.79E-06
2992,1,1.369076133,0.109018972,6.265834334,7.908455129,0.203901448,0.66960348,6.600070706,1.615393568,0.065172799,5.756313045,0.477675104,2.79E-05
3001,1,1.347397442,0.156161918,6.09748083,7.833077796,0.004290752,0.057875627,6.629588665,1.616233445,0.057738005,5.753275459,0.57999886,0.182817909
3006,1,1.369138916,0.093494339,6.262026504,7.925094399,0.353121659,0.050380927,6.594102122,1.614808925,0.073198733,5.755455585,0.484566886,5.15E-04
3014,1,1.369141935,0.009657854,6.263080038,7.920824597,0.454383894,0.151685322,6.518464494,1.614530347,0.046186644,5.773999423,0.473547574,9.00E-06
3024,1,1.369137981,0.098551277,6.261963225,7.920502354,0.410811278,0.285637038,6.588416484,1.615322883,0.04718357,5.760591031,0.490005064,1.56E-05
3030,1,1.368647791,0.159031535,6.249764401,7.883304323,0.075032788,0.637286555,6.615958718,1.615410771,0.147903403,5.750255223,0.47527063,1.05E-05
3032,1,1.369127548,0.13857356,6.267516804,7.926677248,0.142459136,0.608562956,6.61762754,1.615413756,0.042622188,5.753316219,0.483592095,1.32E-04
3034,1,1.369085929,0.142397144,6.262557988,7.90251991,0.318349148,0.5198425,6.619398251,1.615420984,0.061383822,5.762757556,0.485328297,9.97E-06
3035,1,1.369112323,0.028332642,6.196476989,7.855791139,0.689859361,0.428949314,6.376095824,1.614886914,0.043229806,5.748883177,0.475080603,1.18E-06
3048,1,1.369097765,0.039160883,6.211065764,7.772807295,0.544209214,0.357238576,6.433605994,1.614884861,0.043456654,5.748666428,0.489719506,3.66E-05
3050,1,1.369166866,0.090011453,6.26002383,7.937018644,0.246066481,0.245389062,6.593760367,1.615331984,0.046879346,5.746550874,0.477998453,4.24E-05
